Gram panchayat,Village,Sample source,Sample tested date,Temperature, Colour, Odour, Taste, Turbidity, pH,TDS, Total Alkalinity, Chloride, Fluoride, Nitrate, Sulphate, Total Hardness, Iron,Conductivity,Portability
Abaichiwadi,Abaichiwadi,Anganwadi name : ABAICHIWADI 11,45195,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,186,0.06,210,1
Abaichiwadi,Abaichiwadi,Anganwadi name : ABAICHIWADI 12,45079,34,2,0,0,0.5,7.2,258,40,40,0.48,16.99,0.92,152,0.08,340,1
Abaichiwadi,Abaichiwadi,School name : z.p.school,45079,34,2,0,0,0.5,7.2,258,40,40,0.48,16.99,0.92,152,0.08,340,1
Abaichiwadi,Abaichiwadi,Individual house tap water Baburav Nangare,45079,34,2,0,0,0.5,7.2,258,40,40,0.48,16.99,0.92,152,0.08,340,1
Abaichiwadi,Abaichiwadi,Individual house tap water Sambhaji Surve,45079,34,2,0,0,0.5,7.2,258,40,40,0.48,16.99,0.92,152,0.08,340,1
Abaichiwadi,Abaichiwadi,"Source Type : Open Well, location : IN HABITATION",45079,34,0,0,0,0.5,7.2,258,40,40,0.48,16.99,0.92,152,0.08,340,1
Abaichiwadi,Abaichiwadi,", location : Location : Beghar vasti [ Source type : Deep Tubewell ] [ schemeId : 6313078, scheme name : Beghar vasti, Type : Handpump ]",45079,34,0,0,0,0.5,7.3,486,40,60,0.16,63,2,224,0.18,760,1
Adarshnagar,Aadarshnagar,"Source Type : Open Well, location : NEAR GAOTHAN",45195,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,210,1
Adarshnagar,Aadarshnagar,"Source Type : Deep Tubewell, location : NEAR PRY.SCHOOL",45195,26,0,0,0,0.5,7.3,160,34,40,0.001,0.12,0.9,186,0.06,368,1
Akaichiwadi,Akaichiwadi,Individual house tap water SANJAY VADKAR,45173,26,0,0,0,0.4,7,160,34,33,0.001,0.12,0.9,211,0.02,466,1
Akaichiwadi,Akaichiwadi,Individual house tap water JANAKI SUTAR,45173,26,0,0,0,0.4,7,160,34,33,0.001,0.12,0.9,211,0.06,256,1
Akaichiwadi,Akaichiwadi,Individual house tap water in front of temple,45097,33,3,0,0,0.6,7.2,294,50,22,0.06,4.6,0.6,138,0.08,388,1
Akaichiwadi,Akaichiwadi,"Source Type : Open Well, location : Near nalla",45097,33,2,0,0,0.6,7.3,616,190,50,0.4,30.45,1.1,396,0.09,828,1
Akaichiwadi,Akaichiwadi,Individual house tap water sutar house,45097,33,2,0,0,0.6,7.2,294,50,22,0.06,4.6,0.6,138,0.08,388,1
Akaichiwadi,Akaichiwadi,School name : ZP SCHOOL AAKAICHIWADI,45097,33,2,0,0,0.6,7.2,294,50,22,0.06,4.6,0.6,138,0.08,388,1
Akaichiwadi,Akaichiwadi,Anganwadi name : anganwadi 1,45097,33,2,0,0,0.6,7.2,294,50,22,0.06,4.6,0.6,138,0.08,388,1
Akaichiwadi,Botrewadi (n.v.),"Source Type : Open Well, location : IN HABITATION",45097,33,3,0,0,0.6,7.3,612,218,62,0.6,30.5,2,442,0.06,810,1
Akaichiwadi,Botrewadi (n.v.),Public tap water location : -----,45097,33,2,0,0,0.6,7.3,612,218,62,0.6,30.5,2,442,0.06,810,1
Ambavade,Ambavade,"Source Type : Open Well, location : IN HABITATION",45203,,,,,,,,34,,,,,,,,0
Ambavade,Ambavade,"Source Type : Open Well, location : IN HABITATION",45142,33,0,0,0,0.4,7,160,44,42,0.001,0.12,0.9,62,0.012,154,1
Ambavade,Ambavade,", location : Location : near Maruti Mandir [ Source type : Deep Tubewell ] [ schemeId : 6313091, scheme name : near Maruti Mandir, Type : Handpump ]",45142,32,0,0,0,0.4,7,160,34,33,0.001,0.12,0.9,162,0.02,154,1
Ambavade,Ambavade,"Others, location : Ambavade",45142,32,0,0,0,0.4,7,160,42,33,0.001,0.12,0.9,211,0.02,154,1
Ambavade,Ambavade,"Others, location : pandharechiwadi",45142,33,0,0,0,0.4,7,160,34,33,0.001,0.12,0.9,211,0.02,154,1
Andharwadi,Andharwadi,School name : z.p.school,45112,30,2,0,0,0.3,7.29,548,100,56,0.1,3.86,3.5,364,0.13,727,1
Andharwadi,Andharwadi,"Source Type : Open Well, location : KORIWALE RASTA",45089,33,3,0,0,0.5,7.2,376,82,58,0.4,17.2,1.1,200,0.06,498,1
Andharwadi,Andharwadi,Anganwadi name : Anganwadi 3,45089,33,3,0,0,0.5,7.2,362,70,40,0.5,13.1,1,238,0.04,474,1
Andharwadi,Andharwadi,"PrivateHand Pump, location : sandip balu thorat",45092,34,2,0,0,0.5,7.2,262,44,32,0.09,8.52,0.85,132,0.08,349,1
Andharwadi,Andharwadi,"PrivateHand Pump, location : adhik rajaram chavhan",45089,33,3,0,0,0.5,7.2,362,68,40,0.5,13.1,1,238,0.04,474,1
Ane,Aane,"Source Type : Open Well, location : Near Gavthan",45146,25,3,0,0,0.5,7.3,594,380,42,0.12,20.2,1.8,178,0.06,594,1
Ane,Aane,"Source Type : Open Well, location : Near Gavthan",45146,25,3,0,0,0.5,7.3,380,58,42,0.12,20.2,1.8,178,0.06,594,1
Ane,Aane,"Source Type : Open Well, location : Near Gavthan",45194,32,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.6,211,0.06,256,1
Ane,Aane,"Source Type : Deep Tubewell, location : NEAR RIVER",45145,32,0,0,0,0.4,7.1,160,34,42,0.001,0.12,0.9,211,0.02,256,1
Antwadi,Antvadi,School name : z.p.school,45176,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.02,368,1
Antwadi,Antvadi,Individual house tap water SAYAJI RAMCHANDRA SHINDE,45174,26,0,0,0,0.4,7,160,34,33,0.001,0.12,0.9,211,0.02,211,1
Antwadi,Antvadi,Individual house tap water Nitin Ishwar Shinde,45089,33,2,0,0,0.2,7.4,643,180,132,0.13,52.06,2,304,0.04,1008,1
Antwadi,Antvadi,"Source Type : Open Well, location : in habitaiton",45089,33,0.2,0,0,0.2,7.2,298,140,24,0.18,4.51,1.06,108,0.04,608,1
Antwadi,Antvadi,", location : Location : percolation well in Malwadi area [ Source type : Open Well ] [ schemeId : 6313104, scheme name : percolation well in Malwadi area, Type : Handpump ]",45089,33,2,0,0,0.2,7.4,643,180,132,0.13,52.06,2,304,0.04,1008,1
Antwadi,Antvadi,Anganwadi name : Anganwadi,45089,33,2,0,0,0.2,7.2,298,140,24,0.18,4.51,1.06,108,0.04,395,1
Antwadi,Antvadi,Anganwadi name : Mini anganwadi,45089,33,2,0,0,0.2,7.4,643,180,132,0.13,52.06,2,304,0.04,1008,1
Arewadi,Aarewadi,"Source Type : Open Well, location : in habitaiton",45079,34,2,0,0,0.8,7.3,577,164,56,0.1,40.74,0.58,316,0.1,768,1
Arewadi,Aarewadi,", location : Location : Jakhani vasti [ Source type : Open Well ] [ schemeId : 6313105, scheme name : Jakhani vasti, Type : Handpump ]",45079,34,2,0,0,0.8,7.1,93,40,20,0.17,10.3,0,48,0.08,145,1
Arewadi,Aarewadi,", location : Location : Mole wadi [ Source type : Deep Tubewell ] [ schemeId : 6313106, scheme name : Mole wadi, Type : Handpump ]",45079,34,2,0,0,0.8,7.2,268,52,40,0.05,18.57,0.56,112,0.06,356,1
Arewadi,Aarewadi,", location : Location : Grampanchayat office [ Source type : Deep Tubewell ] [ schemeId : 6313108, scheme name : Grampanchayat office, Type : Handpump ]",45079,34,2,0,0,0.8,7.1,93,40,20,0.17,10.3,0,48,0.08,145,1
Arewadi,Aarewadi,", location : Location : Grampanchayat office [ Source type : Deep Tubewell ] [ schemeId : 6313108, scheme name : Grampanchayat office, Type : Handpump ]",45079,34,2,0,0,0.8,7.1,93,40,20,0.17,10.3,0,48,0.08,145,1
Arewadi,Aarewadi,", location : Location : Mole wadi [ Source type : Deep Tubewell ] [ schemeId : 6313106, scheme name : Mole wadi, Type : Handpump ]",45079,34,2,0,0,0.8,7.1,93,40,20,0.17,10.3,0,48,0.08,145,1
Atake,Aatake,", location : Location : Chavan vasti [ Source type : Deep Tubewell ] [ schemeId : 6313113, scheme name : Chavan vasti, Type : Handpump ]",45190,26,0,0,0,0.5,7.3,160,34,33,0.001,0.12,0.9,211,0.06,256,1
Atake,Aatake,", location : Location : near Pandurang Patil house [ Source type : Deep Tubewell ] [ schemeId : 6313123, scheme name : near Pandurang Patil house, Type : Handpump ]",45127,25,2,0,0,0.6,7.2,316,42,34,0.18,34.44,0.6,200,0.06,492,1
Atake,Aatake,", location : Location : near Maruti Mandir [ Source type : Deep Tubewell ] [ schemeId : 6313121, scheme name : near Maruti Mandir, Type : Handpump ]",45127,25,2,0,0,0.6,7.2,274,50,38,0.14,14.6,0.9,168,0.06,424,1
Atake,Aatake,"Source Type : Open Well, location : Gaothan",45127,28,2,0,0,0.4,7.2,228,60,20,0.17,4.7,0.46,104,0.07,303,1
Atake,Aatake,", location : Location : Balkrishna Jadhav house [ Source type : Deep Tubewell ] [ schemeId : 6313116, scheme name : Balkrishna Jadhav house, Type : Handpump ]",45127,28,2,0,0,0.3,7.3,586,134,116,0.11,7.6,3.6,274,0.06,930,1
Atake,Aatake,", location : Location : Ananda Thorat house [ Source type : Deep Tubewell ] [ schemeId : 6313118, scheme name : Ananda Thorat house, Type : Handpump ]",45127,28,2,0,0,0.2,7.2,258,54,26,0.12,3.6,2.6,102,0.06,342,1
